description,industry,level,size,line_code,value
Percentage of total sales from internet sales: 51-90%,Commercial fishing,2,total,B0700.04,0
Percentage of total sales from internet sales: 51-90%,Forestry & logging,2,total,B0700.04,3
Percentage of total sales from internet sales: 51-90%,"Agriculture, forestry, & fishing support services",2,total,B0700.04,15
Percentage of total sales from internet sales: 51-90%,Mining,1,total,B0700.04,6
Percentage of total sales from internet sales: 51-90%,Manufacturing,1,total,B0700.04,477
Percentage of total sales from internet sales: 51-90%,"Food, beverage, & tobacco",2,total,B0700.04,117
Percentage of total sales from internet sales: 51-90%,"Textile, clothing, footwear, & leather",2,total,B0700.04,27
Percentage of total sales from internet sales: 51-90%,Wood & paper product,2,total,B0700.04,42
Percentage of total sales from internet sales: 51-90%,"Printing, publishing, & recorded media",2,total,B0700.04,33
Percentage of total sales from internet sales: 51-90%,"Petroleum, coal, chemical, & associated product",2,total,B0700.04,60
Percentage of total sales from internet sales: 51-90%,Non-metallic mineral product,2,total,B0700.04,24
Percentage of total sales from internet sales: 51-90%,Metal product,2,total,B0700.04,75
Percentage of total sales from internet sales: 51-90%,Transport and industrial machinery & equipment,2,total,B0700.04,54
Percentage of total sales from internet sales: 51-90%,Other machinery & equipment,2,total,B0700.04,9
Percentage of total sales from internet sales: 51-90%,Other manufacturing,2,total,B0700.04,30
Percentage of total sales from internet sales: 51-90%,"Electricity, gas, water, & waste services",1,total,B0700.04,18
Percentage of total sales from internet sales: 51-90%,Construction,1,total,B0700.04,465
Percentage of total sales from internet sales: 51-90%,Wholesale trade,1,total,B0700.04,291
Percentage of total sales from internet sales: 51-90%,Machinery & equipment wholesaling,2,total,B0700.04,60
Percentage of total sales from internet sales: 51-90%,Other wholesale trade,2,total,B0700.04,231
Percentage of total sales from internet sales: 51-90%,Retail trade,1,total,B0700.04,420
Percentage of total sales from internet sales: 51-90%,Accommodation & food services,1,total,B0700.04,360
Percentage of total sales from internet sales: 51-90%,"Transport, postal, & warehousing",1,total,B0700.04,189
Percentage of total sales from internet sales: 51-90%,Information media & telecommunications,1,total,B0700.04,30
Percentage of total sales from internet sales: 51-90%,Publishing,2,total,B0700.04,9
Percentage of total sales from internet sales: 51-90%,Motion picture,2,total,B0700.04,15
Percentage of total sales from internet sales: 51-90%,Telecommunications,2,total,B0700.04,6
Percentage of total sales from internet sales: 51-90%,Financial & insurance services,1,total,B0700.04,42
Percentage of total sales from internet sales: 51-90%,Finance,2,total,B0700.04,9
Percentage of total sales from internet sales: 51-90%,Insurance,2,total,B0700.04,6
Percentage of total sales from internet sales: 51-90%,Auxiliary,2,total,B0700.04,27
Percentage of total sales from internet sales: 51-90%,"Rental, hiring, & real estate services",1,total,B0700.04,126
Percentage of total sales from internet sales: 51-90%,"Professional, scientific, & technical services",1,total,B0700.04,207
Percentage of total sales from internet sales: 51-90%,Computer systems design,2,total,B0700.04,48
Percentage of total sales from internet sales: 51-90%,Other professional scientific,2,total,B0700.04,162
Percentage of total sales from internet sales: 51-90%,Administrative & support services,1,total,B0700.04,96
Percentage of total sales from internet sales: 51-90%,Education & training,1,total,B0700.04,57
Percentage of total sales from internet sales: 51-90%,Health care & social assistance,1,total,B0700.04,66
Percentage of total sales from internet sales: 51-90%,Arts & recreation services,1,total,B0700.04,36
Percentage of total sales from internet sales: 51-90%,Other services,1,total,B0700.04,48
Percentage of total sales from internet sales: 51-90%,total,0,total,B0700.04,3015
Percentage of total sales from internet sales: more than 90%,total,0,6–19 employees,B0700.05,1893
Percentage of total sales from internet sales: more than 90%,total,0,20–49 employees,B0700.05,561
Percentage of total sales from internet sales: more than 90%,total,0,50–99 employees,B0700.05,168
Percentage of total sales from internet sales: more than 90%,total,0,100+ employees,B0700.05,123
Percentage of total sales from internet sales: more than 90%,"Agriculture, forestry, & fishing",1,total,B0700.05,72
Percentage of total sales from internet sales: more than 90%,Agriculture,2,total,B0700.05,48
Percentage of total sales from internet sales: more than 90%,Commercial fishing,2,total,B0700.05,0
Percentage of total sales from internet sales: more than 90%,Forestry & logging,2,total,B0700.05,6
Percentage of total sales from internet sales: more than 90%,"Agriculture, forestry, & fishing support services",2,total,B0700.05,21
Percentage of total sales from internet sales: more than 90%,Mining,1,total,B0700.05,3
Percentage of total sales from internet sales: more than 90%,Manufacturing,1,total,B0700.05,576
Percentage of total sales from internet sales: more than 90%,"Food, beverage, & tobacco",2,total,B0700.05,129
Percentage of total sales from internet sales: more than 90%,"Textile, clothing, footwear, & leather",2,total,B0700.05,27
Percentage of total sales from internet sales: more than 90%,Wood & paper product,2,total,B0700.05,72
Percentage of total sales from internet sales: more than 90%,"Printing, publishing, & recorded media",2,total,B0700.05,21
Percentage of total sales from internet sales: more than 90%,"Petroleum, coal, chemical, & associated product",2,total,B0700.05,81
Percentage of total sales from internet sales: more than 90%,Non-metallic mineral product,2,total,B0700.05,9
Percentage of total sales from internet sales: more than 90%,Metal product,2,total,B0700.05,132
Percentage of total sales from internet sales: more than 90%,Transport and industrial machinery & equipment,2,total,B0700.05,30
Percentage of total sales from internet sales: more than 90%,Other machinery & equipment,2,total,B0700.05,39
Percentage of total sales from internet sales: more than 90%,Other manufacturing,2,total,B0700.05,33
Percentage of total sales from internet sales: more than 90%,"Electricity, gas, water, & waste services",1,total,B0700.05,6
Percentage of total sales from internet sales: more than 90%,Construction,1,total,B0700.05,342
Percentage of total sales from internet sales: more than 90%,Wholesale trade,1,total,B0700.05,315
Percentage of total sales from internet sales: more than 90%,Machinery & equipment wholesaling,2,total,B0700.05,114
Percentage of total sales from internet sales: more than 90%,Other wholesale trade,2,total,B0700.05,201
Percentage of total sales from internet sales: more than 90%,Retail trade,1,total,B0700.05,78
